stn    time           tre200dx  tre200dn  tre200d0
ALT    20180812           27.2      11.1      19.8
ALT    20180813           25.3      15.5      19.7
ALT    20180814           21.5      15.9      17.8
ALT    20180815           25.2      14.5      19.8
ALT    20180816           27.2      12.2      20.0
ALT    20180817           27.5      13.9      19.7
ALT    20180818           25.2      12.8      19.6
ALT    20180819           27.0      15.2      21.3
ALT    20180820           27.7      15.6      21.9
ALT    20180821           27.7      14.9      21.4
ALT    20180822           29.2      14.0      21.7
ALT    20180823           26.9      14.6      20.6
ALT    20180824           22.0      14.5      17.6
ALT    20180825           16.7      10.3      13.9
ALT    20180826           18.7       9.1      13.4
ALT    20180827           23.7      11.2      17.0
ALT    20180828           25.7      10.9      18.1
ALT    20180829           27.6      12.6      18.6
ALT    20180830           17.5      14.8      16.2
ALT    20180831           15.9      13.2      14.8
ALT    20180901           14.8      11.6      13.3
ALT    20180902           18.3      10.0      14.2
ALT    20180903           18.8      10.5      15.3
ALT    20180904           22.9      10.1      16.8
ALT    20180905           23.9      11.4      17.5
ALT    20180906           24.0      12.4      17.7
ALT    20180907           19.9      15.1      16.9
ALT    20180908           22.1      12.0      16.9
ALT    20180909           24.9      10.3      17.4
ALT    20180910           25.4      13.1      18.8
ALT    20180911           26.6      11.6      18.7
ALT    20180912           28.3      12.1      19.9
ALT    20180913           25.7      14.4      19.8
ALT    20180914           21.0      16.2      18.3
ALT    20180915           21.3      14.1      18.1
ALT    20180916           19.6      11.3      16.4
ALT    20180917           24.6      12.6      18.2
ALT    20180918           24.0      12.8      18.3
ALT    20180919           25.4      12.5      18.6
ALT    20180920           25.5      11.6      18.6
ALT    20180921           25.5      11.9      18.4
ALT    20180922           18.3      11.2      14.7
ALT    20180923           24.9      12.6      18.7
ALT    20180924           14.8       6.4      11.5
ALT    20180925           15.8       3.4       9.9
ALT    20180926           17.0       5.0      11.2
ALT    20180927           19.9       6.5      12.7
ALT    20180928           21.7       7.2      15.7
ALT    20180929           17.2      10.2      14.1
ALT    20180930           19.2       6.9      13.5
ALT    20181001           12.2       7.3       9.8
ALT    20181002           13.2       6.6       9.9
ALT    20181003           16.1       9.1      12.4
ALT    20181004           16.7       6.6      11.3
ALT    20181005           18.3       6.1      12.5
ALT    20181006           20.1      10.7      15.7
ALT    20181007           20.3       9.8      15.6
ALT    20181008           17.4       8.5      13.7
ALT    20181009           18.9       8.1      13.5
ALT    20181010           23.7       8.0      17.8
ALT    20181011           22.3      15.3      20.8
ALT    20181012           21.3       9.1      14.7
ALT    20181013           22.5       6.5      14.8
ALT    20181014           23.2      19.5      20.9
ALT    20181015           22.0      17.3      20.0
ALT    20181016           18.9       7.8      14.5
ALT    20181017           17.7       5.4      11.1
